target_x,target_y,iterations,final_err,theta1_deg,theta2_deg,theta3_deg,manipulability_w
0.6,0.2,13,3.153641344700122e-07,-337.7836755199781,316.5156102295941,98.9396971254306,0.12443327046081899
0.4,0.4,14,7.975292923534777e-07,-289.9161711242428,274.083852433447,103.1996419391734,0.12000460753481605
0.0,0.7,17,2.629551311793868e-07,-287.68016311755866,415.4920906921435,294.5391387452004,0.1061479752116506
-0.3,0.5,12,6.113763737899503e-07,-297.9436287435185,452.3020208479386,353.92132893904954,0.15919642275194565
